player_id,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
45419c74,Kerry Abello,us USA,D,Pride,26-062,1999,23,18,"1,552",17.2,1,0,1,1,0,0,2,0,0.6,0.6,0.5,1.1,42,90,48,0.06,0.00,0.06,0.06,0.06,0.03,0.03,0.07,0.03,0.07,Matches
e79fcfd2,Deborah Abiodun,ng NGA,M,Spirit,22-016,2003,8,6,581,6.5,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.9,6,30,12,0.00,0.15,0.15,0.00,0.15,0.05,0.08,0.14,0.05,0.14,Matches
e64b3c35,Emeri Adames,us USA,M,Reign,19-229,2006,21,11,"1,000",11.1,6,0,6,5,1,1,0,0,4.1,3.4,0.9,4.3,25,25,63,0.54,0.00,0.54,0.45,0.45,0.37,0.08,0.45,0.30,0.38,Matches
a4c093fc,Marie-Yasmine Alidou,ca CAN,M,Thorns,30-204,1995,20,6,719,8.0,1,1,2,1,0,0,1,0,1.1,1.1,0.5,1.6,16,21,38,0.13,0.13,0.25,0.13,0.25,0.14,0.07,0.20,0.14,0.20,Matches
51e267dc,Aline,br BRA,F,Courage,20-134,2005,14,3,349,3.9,1,0,1,1,0,0,0,0,1.0,1.0,0.4,1.4,12,8,37,0.26,0.00,0.26,0.26,0.26,0.25,0.11,0.36,0.25,0.36,Matches
f3e2324d,Emmie Allen,us USA,G,Bay FC,23-024,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
b03e80f6,Michelle Alozie,ng NGA,D,Dash,28-204,1997,20,5,654,7.3,1,0,1,1,0,0,2,0,0.2,0.2,0.2,0.5,21,23,42,0.14,0.00,0.14,0.14,0.14,0.03,0.03,0.06,0.03,0.06,Matches
06115ef0,Angelina Anderson,us USA,G,Angel City,24-241,2001,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53cef818,Hannah Anderson,us USA,D,Chicago Stars,24-229,2001,11,4,470,5.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,0,8,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
edb4b4b1,Joelle Anderson,us USA,D,Bay FC,27-043,1998,20,15,"1,286",14.3,1,2,3,1,0,0,2,0,0.6,0.6,0.3,0.9,3,50,1,0.07,0.14,0.21,0.07,0.21,0.04,0.02,0.06,0.04,0.06,Matches
49d6d4a8,Angelina,br BRA,M,Pride,25-296,2000,24,21,"1,810",20.1,0,1,1,0,0,1,2,0,2.2,1.4,2.5,4.0,11,95,74,0.00,0.05,0.05,0.00,0.05,0.11,0.13,0.23,0.07,0.20,Matches
24a238da,Daniela Arias,co COL,D,Wave,31-079,1994,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
e31c93ca,Trinity Armstrong,us USA,D,Wave,18-116,2007,23,18,"1,657",18.4,1,2,3,1,0,0,2,0,1.4,1.4,0.7,2.1,20,73,7,0.05,0.11,0.16,0.05,0.16,0.08,0.04,0.11,0.08,0.11,Matches
30f6344f,Mackenzie Arnold,au AUS,G,Thorns,31-266,1994,19,19,"1,710",19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
fa566209,Ary Borges,br BRA,M,Louisville,25-325,1999,21,16,"1,404",15.6,1,0,1,0,1,1,3,0,4.2,3.5,0.3,3.8,11,53,38,0.06,0.00,0.06,0.00,0.00,0.27,0.02,0.29,0.22,0.25,Matches
81b39775,Kimmi Ascanio,us USA,F,Wave,17-301,2008,26,17,"1,507",16.7,4,1,5,4,0,0,1,0,3.4,3.4,0.3,3.8,20,55,65,0.24,0.06,0.30,0.24,0.30,0.21,0.02,0.22,0.21,0.22,Matches
28392158,Ramona Bachmann,ch SUI,M,Dash,34-328,1990,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1b15d6a3,Dorian Bailey,us USA,M,Bay FC,28-294,1997,23,12,"1,208",13.4,0,0,0,0,0,0,3,0,0.8,0.8,1.4,2.2,14,49,39,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,Matches
0d502444,Bethany Balcer,us USA,F,Louisville,28-256,1997,11,0,46,0.5,1,1,2,1,0,0,0,0,0.3,0.3,0.2,0.5,0,1,5,1.96,1.96,3.91,1.96,3.91,0.53,0.43,0.96,0.53,0.96,Matches
eea3655d,Elizabeth Ball,us USA,D,Current,30-029,1995,19,14,"1,338",14.9,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,0,10,1,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.04,0.04,0.04,Matches
7824185a,Barbra Banda,zm ZAM,F,Pride,25-243,2000,16,15,"1,296",14.4,8,1,9,8,0,0,3,0,8.6,8.5,1.8,10.3,72,16,112,0.56,0.07,0.62,0.56,0.62,0.59,0.12,0.72,0.59,0.72,Matches
9e5caab3,Melanie Barcenas,us USA,F,Wave,18-019,2007,17,3,468,5.2,1,1,2,1,0,0,1,0,0.5,0.5,1.0,1.5,8,22,38,0.19,0.19,0.38,0.19,0.38,0.10,0.20,0.30,0.10,0.30,Matches
380c9205,Lauren Barnes,us USA,D,Reign,36-171,1989,20,16,"1,309",14.5,0,1,1,0,0,0,3,0,0.0,0.0,0.9,0.9,10,61,6,0.00,0.07,0.07,0.00,0.07,0.00,0.06,0.06,0.00,0.06,Matches
703f4922,Catherine Barry,us USA,F,Chicago Stars,23-337,2001,4,0,49,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,1,4,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.48,0.48,Matches
d6ed0c7f,Beatriz,br BRA,F,Current,31-336,1993,24,19,"1,586",17.6,7,3,10,7,0,0,0,0,4.9,4.9,3.6,8.5,31,86,139,0.40,0.17,0.57,0.40,0.57,0.28,0.20,0.48,0.28,0.48,Matches
47b9e2ef,Hannah Bebar,us USA,M,Bay FC,24-074,2001,17,12,"1,050",11.7,0,1,1,0,0,0,1,0,0.5,0.5,1.8,2.4,11,67,14,0.00,0.09,0.09,0.00,0.09,0.04,0.16,0.20,0.04,0.20,Matches
4b32b951,Maycee Bell,us USA,D,Courage,25-061,2000,24,21,"1,893",21.0,0,0,0,0,0,0,1,0,1.2,1.2,1.1,2.3,5,52,6,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
be9f3298,Ann-Katrin Berger,de GER,G,Gotham FC,35-040,1990,24,24,"2,157",24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
f8e41f9d,Malia Berkely,us USA,D,Courage,27-278,1998,11,9,804,8.9,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.5,7,43,5,0.00,0.11,0.11,0.00,0.11,0.02,0.04,0.06,0.02,0.06,Matches
f8e41f9d,Malia Berkely,us USA,D,Dash,27-278,1998,6,6,539,6.0,1,0,1,1,0,0,0,0,1.0,0.7,0.2,0.8,4,13,2,0.17,0.00,0.17,0.17,0.17,0.16,0.03,0.19,0.11,0.14,Matches
09a7e270,Rebeca Bernal,mx MEX,D,Spirit,28-079,1997,21,20,"1,717",19.1,0,0,0,0,0,0,1,0,1.2,1.2,1.0,2.2,7,64,5,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12,Matches
130c8e6e,Hannah Betfort,us USA,F,Courage,26-318,1999,19,6,697,7.7,2,0,2,2,0,0,2,0,2.6,2.6,0.5,3.1,11,10,44,0.26,0.00,0.26,0.26,0.26,0.34,0.07,0.40,0.34,0.40,Matches
aa0f9aa7,Croix Bethune,us USA,M,Spirit,24-249,2001,20,16,"1,338",14.9,2,2,4,2,0,0,2,0,2.9,2.9,2.7,5.6,37,60,67,0.13,0.13,0.27,0.13,0.27,0.20,0.18,0.38,0.20,0.38,Matches
76828205,Camryn Biegalski,us USA,D,Chicago Stars,27-099,1998,20,16,"1,561",17.3,1,1,2,1,0,0,2,0,0.7,0.7,0.9,1.6,33,53,36,0.06,0.06,0.12,0.06,0.12,0.04,0.05,0.09,0.04,0.09,Matches
4d7dc3fd,Jenna Bike,us USA,F,Chicago Stars,27-289,1998,8,6,428,4.8,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,5,6,30,0.00,0.00,0.00,0.00,0.00,0.14,0.11,0.24,0.14,0.24,Matches
73eb19a8,Bella Bixby,us USA,G,Thorns,29-363,1995,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
0ac84745,Lynn Biyendolo,us USA,F,Reign,32-181,1993,13,7,794,8.8,2,1,3,2,0,0,0,0,1.5,1.5,0.8,2.3,6,23,45,0.23,0.11,0.34,0.23,0.34,0.17,0.09,0.26,0.17,0.26,Matches
d8ece1b2,Jordyn Bloomer,us USA,G,Louisville,28-035,1997,20,20,"1,800",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
f60a0981,Meg Boade,,M,Spirit,,,3,2,107,1.2,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.7,3,3,6,0.84,0.00,0.84,0.84,0.84,0.44,0.11,0.55,0.44,0.55,Matches
4c3147d0,Tess Boade,us USA,M,Bay FC,26-288,1999,19,10,984,10.9,0,0,0,0,0,0,0,0,1.4,1.4,1.8,3.3,12,36,46,0.00,0.00,0.00,0.00,0.00,0.13,0.17,0.30,0.13,0.30,Matches
f7f524de,Lisa Boattin,it ITA,D,Dash,28-199,1997,5,2,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,14,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
399c5a1a,Marisa Bova,us USA,G,Courage,25-104,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87fc628b,Jordan Brewster,us USA,D,Bay FC,26-052,1999,1,1,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
01204fe0,Messiah Bright,us USA,F,Dash,25-310,2000,26,12,"1,260",14.0,2,1,3,2,0,0,3,0,2.8,2.8,1.0,3.8,20,16,77,0.14,0.07,0.21,0.14,0.21,0.20,0.07,0.27,0.20,0.27,Matches
9982f5c6,Courtney Brown,us USA,M,Spirit,24-358,2000,15,5,439,4.9,1,0,1,1,0,0,0,0,1.3,1.3,0.6,1.8,9,15,34,0.21,0.00,0.21,0.21,0.21,0.26,0.12,0.37,0.26,0.37,Matches
f790716d,Bruninha,br BRA,D,Gotham FC,23-155,2002,23,15,"1,361",15.1,0,1,1,0,0,0,2,0,0.0,0.0,1.4,1.4,26,76,74,0.00,0.07,0.07,0.00,0.07,0.00,0.09,0.09,0.00,0.09,Matches
c5ca9ed9,Jordyn Bugg,us USA,D,Reign,19-099,2006,25,24,"2,149",23.9,3,0,3,3,0,0,4,0,0.5,0.5,0.5,1.0,18,71,8,0.13,0.00,0.13,0.13,0.13,0.02,0.02,0.04,0.02,0.04,Matches
c40fd1ac,Jane Campbell,us USA,G,Dash,30-274,1995,18,18,"1,542",17.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
c555eeb9,Ryan Campbell,us USA,G,Gotham FC,23-245,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
e14b3765,Sofia Cantore,it ITA,F,Spirit,26-049,1999,12,8,738,8.2,4,1,5,4,0,0,1,0,3.3,3.3,0.8,4.1,22,23,67,0.49,0.12,0.61,0.49,0.61,0.40,0.10,0.51,0.40,0.51,Matches
77ce913d,Gabrielle Carle,ca CAN,D,Spirit,27-037,1998,25,23,"2,072",23.0,0,0,0,0,0,0,1,0,1.0,1.0,1.5,2.5,42,94,65,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
bb5e99fc,Jess Carter,eng ENG,D,Gotham FC,28-022,1997,23,23,"1,896",21.1,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.3,10,66,7,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
fe14499e,Kyra Carusa,ie IRL,F,Wave,30-004,1995,14,3,382,4.2,0,1,1,0,0,0,0,0,1.2,1.2,0.6,1.7,4,10,30,0.00,0.24,0.24,0.00,0.24,0.28,0.13,0.41,0.28,0.41,Matches
06cb322e,Sam Cary,us USA,D,Chicago Stars,25-023,2000,4,3,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
9d82fe8e,Delphine Cascarino,fr FRA,F,Wave,28-286,1997,24,23,"1,978",22.0,5,6,11,5,0,0,2,0,3.4,3.4,4.9,8.3,84,96,198,0.23,0.27,0.50,0.23,0.50,0.15,0.22,0.38,0.15,0.38,Matches
1b470ecd,Deyna Castellanos,ve VEN,F,Thorns,26-214,1999,21,13,"1,175",13.1,2,0,2,2,0,0,2,0,2.3,2.3,1.7,4.0,13,37,49,0.15,0.00,0.15,0.15,0.15,0.17,0.13,0.31,0.17,0.31,Matches
fde686b3,Ivonne Chacón,co COL,F,Chicago Stars,28-037,1997,5,1,182,2.0,1,1,2,1,0,0,0,0,1.0,1.0,0.3,1.3,4,2,10,0.49,0.49,0.99,0.49,0.99,0.50,0.14,0.63,0.50,0.63,Matches
3a794757,Grace Chanda,zm ZAM,M,Pride,28-160,1997,4,0,40,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,2,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
afcbf4d8,Allysha Chapman,ca CAN,D,Dash,36-297,1989,11,8,657,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,25,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
78400c25,Simone Charley,us USA,F,Pride,30-287,1995,9,1,226,2.5,1,0,1,1,0,0,1,0,1.9,1.9,0.1,2.0,5,4,14,0.40,0.00,0.40,0.40,0.40,0.77,0.04,0.81,0.77,0.81,Matches
166cd310,Zara Chavosi,ca CAN,D,Pride,22-347,2002,10,5,506,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,24,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
b86badfa,Temwa Chaŵinga,mw MWI,F,Current,27-059,1998,23,21,"1,809",20.1,15,3,18,15,0,0,0,0,14.2,14.2,3.0,17.1,39,35,162,0.75,0.15,0.90,0.75,0.90,0.70,0.15,0.85,0.70,0.85,Matches
70e954f3,Prisca Chilufya,zm ZAM,F,Pride,26-163,1999,16,4,512,5.7,2,0,2,2,0,0,2,0,1.3,1.3,1.1,2.4,28,7,54,0.35,0.00,0.35,0.35,0.35,0.23,0.19,0.42,0.23,0.42,Matches
70e954f3,Prisca Chilufya,zm ZAM,F,Angel City,26-163,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,6,0.00,0.00,0.00,0.00,0.00,0.13,0.36,0.49,0.13,0.49,Matches
939315dc,Mikayla Cluff,us USA,M,Royals,26-266,1999,7,1,155,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,7,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
4d28a90a,Sam Coffey,us USA,M,Thorns,26-322,1998,25,25,"2,221",24.7,2,4,6,0,2,3,3,0,3.2,1.0,2.0,3.0,28,136,43,0.08,0.16,0.24,0.00,0.16,0.13,0.08,0.21,0.04,0.12,Matches
24478b0c,Danielle Colaprico,us USA,M,Dash,32-196,1993,26,26,"2,192",24.4,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.1,7,67,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
f5bafcf2,Sydney Collins,ca CAN,D,Bay FC,26-071,1999,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
b035ac13,Caroline Conti,us USA,M,Bay FC,24-235,2001,21,14,"1,279",14.2,3,3,6,0,3,3,4,0,3.3,1.1,1.4,2.5,9,56,43,0.21,0.21,0.42,0.00,0.21,0.24,0.10,0.33,0.08,0.18,Matches
7ca7c385,Alana Cook,us USA,D,Current,28-221,1997,7,7,586,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
662d7873,Ava Cook,us USA,F,Chicago Stars,25-136,2000,10,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
845abb1a,Sofia Cook,us USA,M,Gotham FC,21-103,2004,10,0,178,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.5,4,11,10,0.00,0.00,0.00,0.00,0.00,0.18,0.09,0.27,0.18,0.27,Matches
5f97ae2e,Michelle Cooper,us USA,F,Current,22-349,2002,20,17,"1,227",13.6,6,3,9,6,0,0,3,0,4.2,4.2,6.0,10.2,42,38,118,0.44,0.22,0.66,0.44,0.66,0.31,0.44,0.75,0.31,0.75,Matches
0ae418c9,Gia Corley,de GER,M,Wave,23-182,2002,24,21,"1,585",17.6,2,3,5,2,0,0,5,0,3.2,3.2,1.9,5.1,67,64,84,0.11,0.17,0.28,0.11,0.28,0.18,0.11,0.29,0.18,0.29,Matches
ee98152f,Brooklyn Courtnall,ca CAN,D,Bay FC,22-325,2002,7,6,541,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,20,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
ee98152f,Brooklyn Courtnall,ca CAN,D,Courage,22-325,2002,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
d3c316a3,Ana-Maria Crnogorčević,ch SUI,F,Reign,35-046,1990,12,5,391,4.3,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,8,11,18,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.19,0.15,0.19,Matches
1eb67c0e,McKinley Crone,,G,Pride,,,2,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
939ba0d8,Chardonnay Curran,us USA,M,Chicago Stars,26-092,1999,6,0,79,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,3,7,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
8b5135ec,Madison Curry,us USA,D,Reign,24-299,2001,26,24,"2,085",23.2,0,1,1,0,0,0,2,0,0.5,0.5,1.4,1.9,36,66,95,0.00,0.04,0.04,0.00,0.04,0.02,0.06,0.08,0.02,0.08,Matches
829fd286,Madeline Dahlien,us USA,D,Reign,21-116,2004,26,21,"1,828",20.3,4,4,8,4,0,0,3,0,3.5,3.5,1.9,5.5,57,32,148,0.20,0.20,0.39,0.20,0.39,0.17,0.10,0.27,0.17,0.27,Matches
52b58405,Abby Dahlkemper,us USA,D,Bay FC,32-189,1993,13,13,"1,170",13.0,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,2,38,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
006f18aa,Daiane,br BRA,D,Thorns,28-072,1997,7,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
1cb43c5f,Kenza Dali,fr FRA,M,Wave,34-110,1991,26,26,"2,335",25.9,5,3,8,5,0,0,2,0,2.9,2.9,4.2,7.2,83,182,123,0.19,0.12,0.31,0.19,0.31,0.11,0.16,0.28,0.11,0.28,Matches
543614ff,Tierna Davidson,us USA,D,Gotham FC,27-061,1998,3,3,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,12,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
85cea0cf,Debinha,br BRA,F,Current,34-029,1991,22,17,"1,462",16.2,8,1,9,7,1,1,0,0,6.0,5.2,3.7,9.0,39,85,122,0.49,0.06,0.55,0.43,0.49,0.38,0.24,0.62,0.33,0.57,Matches
8cfb97f5,Kate Del Fava,us USA,D,Royals,27-118,1998,26,26,"2,340",26.0,0,1,1,0,0,0,5,0,1.5,1.5,0.5,1.9,13,99,10,0.00,0.04,0.04,0.00,0.04,0.06,0.02,0.07,0.06,0.07,Matches
add26dda,Savannah Demelo,us USA,M,Louisville,27-237,1998,18,17,"1,413",15.7,3,2,5,2,1,1,4,0,4.3,3.6,2.6,6.2,24,76,77,0.19,0.13,0.32,0.13,0.25,0.28,0.17,0.44,0.23,0.40,Matches
6b6dbea9,Margie Detrizio,,M,Spirit,,,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
e940a089,Vanessa DiBernardo,us USA,M,Current,33-187,1992,13,11,886,9.8,0,1,1,0,0,0,1,0,0.7,0.7,1.4,2.1,19,58,27,0.00,0.10,0.10,0.00,0.10,0.07,0.14,0.21,0.07,0.21,Matches
